JSQ (Departure),Grove St (Departure),Newport (Departure),Hoboken (Departure),Chris St (Departure),9 St (Departure),14 St (Departure),23 St (Departure),33 St (Arrival)
3:30 PM,3:34 PM,3:38 PM,3:46 PM,3:55 PM,3:56 PM,3:58 PM,3:59 PM,4:02 PM
3:40 PM,3:44 PM,3:48 PM,3:56 PM,4:05 PM,4:06 PM,4:08 PM,4:09 PM,4:12 PM
3:50 PM,3:54 PM,3:58 PM,4:06 PM,4:15 PM,4:16 PM,4:18 PM,4:19 PM,4:22 PM
4:00 PM,4:04 PM,4:08 PM,4:16 PM,4:25 PM,4:26 PM,4:28 PM,4:29 PM,4:32 PM
4:10 PM,4:14 PM,4:18 PM,4:26 PM,4:35 PM,4:36 PM,4:38 PM,4:39 PM,4:42 PM
4:20 PM,4:24 PM,4:28 PM,4:36 PM,4:45 PM,4:46 PM,4:48 PM,4:49 PM,4:52 PM
4:30 PM,4:34 PM,4:38 PM,4:46 PM,4:55 PM,4:56 PM,4:58 PM,4:59 PM,5:02 PM
4:40 PM,4:44 PM,4:48 PM,4:56 PM,5:05 PM,5:06 PM,5:08 PM,5:09 PM,5:12 PM
4:50 PM,4:54 PM,4:58 PM,5:06 PM,5:15 PM,5:16 PM,5:18 PM,5:19 PM,5:22 PM
5:00 PM,5:04 PM,5:08 PM,5:16 PM,5:25 PM,5:26 PM,5:28 PM,5:29 PM,5:32 PM
5:10 PM,5:14 PM,5:18 PM,5:26 PM,5:35 PM,5:36 PM,5:38 PM,5:39 PM,5:42 PM
5:20 PM,5:24 PM,5:28 PM,5:36 PM,5:45 PM,5:46 PM,5:48 PM,5:49 PM,5:52 PM
5:30 PM,5:34 PM,5:38 PM,5:46 PM,5:55 PM,5:56 PM,5:58 PM,5:59 PM,6:02 PM
5:40 PM,5:44 PM,5:48 PM,5:56 PM,6:05 PM,6:06 PM,6:08 PM,6:09 PM,6:12 PM
5:50 PM,5:54 PM,5:58 PM,6:06 PM,6:15 PM,6:16 PM,6:18 PM,6:19 PM,6:22 PM
6:00 PM,6:04 PM,6:08 PM,6:16 PM,6:25 PM,6:26 PM,6:28 PM,6:29 PM,6:32 PM
6:10 PM,6:14 PM,6:18 PM,6:26 PM,6:35 PM,6:36 PM,6:38 PM,6:39 PM,6:42 PM
6:20 PM,6:24 PM,6:28 PM,6:36 PM,6:45 PM,6:46 PM,6:48 PM,6:49 PM,6:52 PM
6:30 PM,6:34 PM,6:38 PM,6:46 PM,6:55 PM,6:56 PM,6:58 PM,6:59 PM,7:02 PM
6:40 PM,6:44 PM,6:48 PM,6:56 PM,7:05 PM,7:06 PM,7:08 PM,7:09 PM,7:12 PM
6:50 PM,6:54 PM,6:58 PM,7:06 PM,7:15 PM,7:16 PM,7:18 PM,7:19 PM,7:22 PM
7:00 PM,7:04 PM,7:08 PM,7:16 PM,7:25 PM,7:26 PM,7:28 PM,7:29 PM,7:32 PM
7:10 PM,7:14 PM,7:18 PM,7:26 PM,7:35 PM,7:36 PM,7:38 PM,7:39 PM,7:42 PM
7:20 PM,7:24 PM,7:28 PM,7:36 PM,7:45 PM,7:46 PM,7:48 PM,7:49 PM,7:52 PM
7:30 PM,7:34 PM,7:38 PM,7:46 PM,7:55 PM,7:56 PM,7:58 PM,7:59 PM,8:02 PM
7:40 PM,7:44 PM,7:48 PM,7:56 PM,8:05 PM,8:06 PM,8:08 PM,8:09 PM,8:12 PM
7:50 PM,7:54 PM,7:58 PM,8:06 PM,8:15 PM,8:16 PM,8:18 PM,8:19 PM,8:22 PM
8:00 PM,8:04 PM,8:08 PM,8:16 PM,8:25 PM,8:26 PM,8:28 PM,8:29 PM,8:32 PM
8:15 PM,8:19 PM,8:23 PM,8:31 PM,8:40 PM,8:41 PM,8:43 PM,8:44 PM,8:47 PM
8:35 PM,8:39 PM,8:43 PM,8:51 PM,9:00 PM,9:01 PM,9:03 PM,9:04 PM,9:07 PM
8:55 PM,8:59 PM,9:03 PM,9:11 PM,9:20 PM,9:21 PM,9:23 PM,9:24 PM,9:27 PM
9:15 PM,9:19 PM,9:23 PM,9:31 PM,9:40 PM,9:41 PM,9:43 PM,9:44 PM,9:47 PM
9:35 PM,9:39 PM,9:43 PM,9:51 PM,10:00 PM,10:01 PM,10:03 PM,10:04 PM,10:07 PM
9:55 PM,9:59 PM,10:03 PM,10:11 PM,10:20 PM,10:21 PM,10:23 PM,10:24 PM,10:27 PM
10:15 PM,10:19 PM,10:23 PM,10:31 PM,10:40 PM,10:41 PM,10:43 PM,10:44 PM,10:47 PM
10:35 PM,10:39 PM,10:43 PM,10:51 PM,11:00 PM,11:01 PM,11:03 PM,11:04 PM,11:07 PM
10:55 PM,10:59 PM,11:03 PM,11:11 PM,11:20 PM,11:21 PM,11:23 PM,11:24 PM,11:27 PM
11:15 PM,11:19 PM,11:23 PM,11:31 PM,11:40 PM,11:41 PM,11:43 PM,11:44 PM,11:47 PM
11:40 PM,11:44 PM,11:48 PM,11:56 PM,12:05 AM,12:06 AM,12:08 AM,12:09 AM,12:12 AM
